Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP01225,Male,No,3+,Not Graduate,Yes,266849,33861,1866671,300,1,Rural,Y
LP00525,Male,No,0,Graduate,No,258095,28329,2595242,180,1,Rural,Y
LP01337,Male,No,3+,Graduate,Yes,101686,161967,2234435,300,1,Urban,Y
LP01840,Female,Yes,0,Not Graduate,No,326404,134389,997821,120,1,Urban,Y
LP01552,Female,No,1,Not Graduate,No,353790,47744,4868184,300,0,Urban,N
LP01095,Female,Yes,1,Not Graduate,No,412092,175757,1163463,120,1,Urban,Y
LP01290,Female,Yes,3+,Not Graduate,No,443417,178908,2039447,360,0,Semiurban,N
LP01650,Male,No,3+,Graduate,No,422425,70252,2837779,300,1,Rural,Y
LP00666,Female,No,1,Not Graduate,No,320072,6437,2741216,240,0,Urban,N
LP00524,Female,No,2,Not Graduate,No,347897,29247,541328,360,1,Urban,Y
LP01210,Female,Yes,2,Not Graduate,Yes,485332,56179,3596828,300,1,Rural,Y
LP00325,Male,Yes,3+,Graduate,Yes,312171,89472,3924010,180,0,Semiurban,N
LP01396,Female,No,3+,Not Graduate,No,135439,196381,610095,360,0,Rural,N
LP01607,Female,Yes,2,Not Graduate,Yes,384956,171191,1105849,180,0,Semiurban,N
LP01236,Female,Yes,2,Graduate,Yes,462971,178959,635505,180,0,Semiurban,N
LP01549,Male,Yes,0,Not Graduate,No,255616,185109,4052043,120,1,Urban,Y
LP01160,Male,No,2,Not Graduate,No,24448,121880,3854032,120,0,Rural,N
LP01572,Male,Yes,1,Not Graduate,Yes,230340,149847,2518774,360,0,Rural,N
LP00883,Female,No,0,Graduate,No,210662,61098,2571142,120,1,Urban,Y
LP01382,Male,No,3+,Not Graduate,No,318706,190112,2841173,300,0,Urban,N
LP01292,Female,Yes,2,Not Graduate,No,399269,112677,2244780,180,0,Urban,N
LP01915,Female,Yes,1,Graduate,No,102627,73167,1157835,360,0,Urban,N
LP00358,Male,Yes,0,Graduate,No,62219,111186,2126339,180,1,Rural,Y
LP00738,Female,No,0,Graduate,Yes,113624,169195,3243012,120,1,Urban,Y
LP01890,Female,No,0,Not Graduate,Yes,25791,130973,4510239,180,1,Semiurban,N
LP01930,Female,No,1,Not Graduate,Yes,322520,7418,3321267,120,1,Urban,Y
LP01547,Female,Yes,2,Not Graduate,No,241093,112735,2921601,360,0,Rural,N
LP01216,Female,Yes,3+,Not Graduate,No,426583,62657,2230922,120,1,Urban,Y
LP00805,Female,Yes,3+,Graduate,Yes,374313,154023,1315850,120,0,Semiurban,N
LP01671,Female,No,3+,Not Graduate,No,404839,184137,2284440,300,0,Urban,N
LP01169,Female,Yes,3+,Graduate,Yes,364736,114678,2985292,120,1,Urban,Y
LP00961,Male,Yes,0,Graduate,No,111079,166568,3034257,240,0,Semiurban,N
LP01358,Male,Yes,2,Not Graduate,Yes,275988,47874,433776,120,1,Semiurban,Y
LP01176,Male,Yes,2,Graduate,No,205845,133838,4064236,240,1,Urban,Y
LP00044,Male,Yes,1,Graduate,Yes,74853,92217,999268,300,1,Semiurban,Y
LP01801,Male,Yes,3+,Graduate,Yes,24609,188774,2005799,240,0,Semiurban,N
LP00904,Male,Yes,1,Not Graduate,Yes,95333,161919,808336,240,0,Urban,N
LP00978,Male,Yes,0,Graduate,Yes,492162,101239,1749254,120,0,Rural,N
LP01874,Male,Yes,0,Graduate,Yes,492660,185120,776196,120,1,Urban,Y
LP00037,Male,Yes,2,Graduate,Yes,457199,103721,1158918,360,0,Semiurban,N
LP01678,Female,No,3+,Not Graduate,Yes,366280,194391,1809525,180,0,Semiurban,N
LP00971,Male,Yes,0,Graduate,No,362204,31723,2115659,360,1,Semiurban,Y
LP00567,Male,Yes,3+,Graduate,No,200065,54239,4782334,240,0,Rural,N
LP00264,Female,Yes,1,Graduate,Yes,30208,85205,1685724,360,0,Urban,N
LP00346,Female,Yes,0,Not Graduate,Yes,338164,5865,1538385,120,1,Semiurban,Y
LP00869,Male,Yes,2,Graduate,Yes,231423,184616,2642106,360,1,Semiurban,Y
LP01158,Male,Yes,3+,Graduate,Yes,224001,139376,2177467,300,1,Urban,Y
LP01155,Male,No,2,Graduate,No,136093,163421,201400,240,0,Rural,N
LP01765,Female,No,1,Not Graduate,Yes,392811,166747,822188,300,1,Urban,Y
LP01726,Female,No,3+,Graduate,Yes,250101,109912,2553963,180,0,Semiurban,N
LP01377,Male,Yes,1,Graduate,Yes,160930,190721,1078226,360,0,Urban,N
LP00579,Male,Yes,0,Not Graduate,Yes,406892,146839,1817217,240,0,Rural,N
LP01078,Male,Yes,3+,Not Graduate,No,213595,127374,351231,360,0,Urban,N
LP00045,Male,No,2,Graduate,Yes,455880,171614,3092531,120,0,Urban,N
LP00634,Male,Yes,3+,Not Graduate,No,321220,114591,2039745,120,0,Semiurban,N
LP01270,Male,No,1,Graduate,No,95801,144206,4785911,360,1,Semiurban,Y
LP00578,Female,Yes,0,Not Graduate,No,92125,62852,2193642,120,0,Semiurban,N
LP00944,Female,No,1,Not Graduate,Yes,372132,94268,786257,240,1,Urban,Y
LP00818,Female,Yes,0,Graduate,Yes,292527,28712,4303013,240,1,Urban,Y
LP01508,Male,No,3+,Not Graduate,Yes,307060,42578,4569645,120,1,Rural,Y
LP01889,Male,No,0,Not Graduate,Yes,86469,62769,3670498,120,1,Urban,N
LP01283,Male,Yes,3+,Not Graduate,Yes,434473,148751,1427309,240,0,Semiurban,N
LP00562,Female,Yes,2,Not Graduate,No,267187,6067,4419635,180,1,Rural,Y
LP00757,Male,Yes,0,Not Graduate,Yes,230152,132325,656161,240,0,Urban,N
LP00888,Female,Yes,1,Not Graduate,No,344593,47653,235721,300,0,Rural,N
LP01323,Female,No,0,Graduate,No,71316,135546,246415,120,1,Urban,Y
LP00748,Female,No,2,Not Graduate,No,489480,143072,451140,360,1,Rural,Y
LP01259,Male,No,0,Graduate,Yes,211662,66927,1990688,360,1,Semiurban,Y
LP00278,Male,No,0,Graduate,Yes,27683,35592,2451721,300,0,Semiurban,N
LP01330,Male,No,0,Not Graduate,No,302521,56339,4274616,180,1,Rural,Y
LP01213,Male,Yes,3+,Graduate,Yes,308392,123131,161465,180,1,Rural,Y
LP00852,Male,Yes,3+,Graduate,No,151984,119632,4845940,300,0,Urban,N
LP00980,Female,Yes,2,Graduate,Yes,462806,106038,1886129,120,0,Semiurban,N
LP00545,Male,Yes,2,Graduate,Yes,111056,29142,1816491,240,0,Semiurban,N
LP00185,Male,No,0,Graduate,No,487719,157569,2633749,180,0,Rural,N
LP00820,Male,No,2,Graduate,No,157480,95539,4535832,180,1,Urban,Y
LP01661,Female,Yes,2,Not Graduate,No,422726,110653,3576424,180,0,Urban,N
LP00817,Male,No,3+,Not Graduate,No,120783,8768,643493,300,1,Urban,Y
LP01714,Male,No,0,Not Graduate,Yes,337673,187001,3891177,180,0,Rural,N
LP01824,Female,No,3+,Graduate,No,361444,42587,4467427,180,1,Semiurban,Y
LP01741,Female,Yes,1,Not Graduate,Yes,322920,10830,3471318,120,0,Semiurban,N
LP01033,Female,No,2,Graduate,Yes,368789,169055,2586151,120,1,Urban,Y
LP00444,Female,Yes,0,Graduate,Yes,480815,95013,4051101,180,1,Urban,Y
LP00558,Female,Yes,1,Not Graduate,Yes,72720,125630,4807776,240,1,Semiurban,N
LP01036,Male,Yes,1,Graduate,Yes,314364,43842,1317888,120,0,Rural,N
LP01629,Female,No,0,Graduate,No,217450,15663,3402181,180,0,Semiurban,N
LP01662,Female,No,3+,Not Graduate,No,136723,56032,4452603,240,1,Urban,N
LP00624,Male,Yes,0,Graduate,Yes,296226,48453,2628364,120,1,Semiurban,Y
LP00205,Male,Yes,3+,Graduate,No,74274,133691,763948,120,0,Semiurban,N
LP01948,Female,No,1,Graduate,No,480291,150934,1441944,240,1,Urban,Y
LP01577,Male,No,3+,Graduate,Yes,376912,149395,1846853,120,0,Rural,N
LP00943,Female,Yes,2,Not Graduate,No,93468,27437,4546369,120,1,Rural,N
LP00577,Male,No,3+,Not Graduate,Yes,453506,183238,539737,240,1,Semiurban,Y
LP01962,Female,No,1,Graduate,No,365290,166557,4915219,120,0,Urban,N
LP01456,Male,Yes,1,Graduate,No,110525,64407,69641,300,1,Rural,Y
LP00160,Female,No,2,Graduate,Yes,305585,58435,4911922,360,0,Rural,N
LP00918,Female,No,1,Not Graduate,Yes,117296,172427,4136548,180,1,Urban,Y
LP01718,Female,No,1,Graduate,Yes,350068,17616,4010134,240,1,Urban,Y
LP00257,Male,No,3+,Graduate,Yes,475705,199510,3328494,360,1,Semiurban,Y
LP01523,Male,No,1,Graduate,Yes,49525,150668,3632729,180,0,Rural,N
LP01657,Male,Yes,1,Not Graduate,No,407166,7337,4887803,240,0,Semiurban,N
LP01104,Male,No,3+,Not Graduate,No,328434,105034,4947937,240,1,Urban,Y
LP01664,Female,No,2,Not Graduate,Yes,233027,76818,1243685,120,1,Rural,Y
LP00008,Male,No,2,Not Graduate,No,435077,30170,3214055,360,1,Semiurban,Y
LP01113,Female,Yes,0,Graduate,Yes,425039,151875,1476116,240,0,Semiurban,N
LP00935,Female,No,1,Not Graduate,No,361591,3356,2371356,120,1,Semiurban,Y
LP01575,Male,No,3+,Graduate,No,292723,182604,3322430,360,1,Rural,Y
LP01462,Female,Yes,1,Graduate,No,383840,164178,1793365,240,1,Urban,Y
LP01845,Female,Yes,1,Not Graduate,No,221198,33039,1124695,120,0,Rural,N
LP01811,Male,Yes,1,Not Graduate,Yes,152237,28216,1065739,120,0,Urban,N
LP01234,Male,Yes,0,Not Graduate,Yes,145071,98384,272051,240,0,Semiurban,N
LP00102,Female,Yes,0,Not Graduate,No,368746,84832,2993221,120,0,Rural,N
LP00314,Female,No,1,Graduate,No,431065,58629,3403936,180,0,Urban,N
LP00130,Male,No,2,Graduate,No,173991,20722,450738,180,0,Semiurban,N
LP01348,Male,No,3+,Not Graduate,No,273366,191360,4022899,300,1,Urban,Y
LP00786,Female,No,0,Graduate,Yes,461859,118115,550452,240,1,Semiurban,Y
LP01285,Male,Yes,2,Graduate,No,327032,58331,4223777,300,1,Urban,Y
LP00309,Male,Yes,3+,Graduate,No,151723,60141,2770148,240,1,Rural,Y
LP01090,Male,No,0,Graduate,No,103963,92741,4155121,300,0,Semiurban,N
LP00206,Female,Yes,1,Graduate,No,110562,9087,3460293,240,0,Urban,N
LP00583,Male,Yes,0,Graduate,Yes,126614,61748,3340971,300,1,Semiurban,Y
LP01907,Female,Yes,3+,Graduate,Yes,266341,96346,2630461,120,0,Rural,N
LP01119,Male,Yes,3+,Graduate,Yes,173126,112481,1887577,180,0,Semiurban,N
LP01165,Male,Yes,3+,Not Graduate,Yes,353503,196393,3610672,180,1,Rural,Y
LP01960,Female,Yes,1,Graduate,Yes,109512,184801,406488,240,0,Rural,N
LP01752,Female,Yes,2,Not Graduate,Yes,209067,76217,2607194,120,1,Urban,Y
LP01311,Female,Yes,3+,Graduate,No,333924,156352,563845,240,1,Semiurban,Y
LP00816,Male,Yes,3+,Graduate,Yes,294706,128838,4027130,120,0,Semiurban,N
LP00770,Male,No,2,Not Graduate,No,286637,18029,2020087,120,0,Semiurban,N
LP00553,Female,No,1,Not Graduate,Yes,113014,21424,2876762,120,1,Semiurban,N
LP01795,Male,Yes,0,Not Graduate,Yes,172932,53498,407325,180,0,Rural,N
LP00655,Male,No,0,Graduate,No,87248,27653,1721447,300,1,Urban,Y
LP01646,Female,Yes,2,Graduate,Yes,338647,171891,1265027,180,1,Urban,Y
LP00218,Male,No,2,Graduate,No,469535,194989,1602033,240,1,Semiurban,Y
LP01069,Female,Yes,0,Not Graduate,Yes,83972,93401,934052,120,1,Urban,Y
LP00099,Male,Yes,3+,Graduate,Yes,135816,142620,3977788,360,0,Urban,N
LP01430,Male,No,1,Not Graduate,No,491892,53386,3088899,300,0,Rural,N
LP01387,Male,Yes,0,Not Graduate,Yes,274101,168038,3025153,120,1,Rural,Y
LP00440,Female,Yes,3+,Not Graduate,Yes,451760,186301,2992898,300,1,Urban,Y
LP01478,Male,No,2,Graduate,No,82704,190837,3078119,120,1,Rural,Y
LP00505,Female,No,1,Graduate,No,62348,157193,3420702,120,0,Semiurban,N
LP00178,Female,No,2,Graduate,No,263991,139852,3582959,120,1,Semiurban,Y
LP01687,Male,Yes,1,Not Graduate,No,489256,122479,1477268,120,1,Semiurban,Y
LP01704,Female,No,0,Graduate,No,229763,11441,461664,300,0,Urban,N
LP00797,Female,Yes,0,Graduate,Yes,422032,169322,3800089,180,1,Semiurban,Y
LP01865,Female,Yes,3+,Not Graduate,Yes,279465,26172,4012427,300,1,Rural,Y
LP01448,Female,Yes,2,Graduate,No,176527,178052,3547852,360,0,Semiurban,N
LP01640,Female,No,2,Graduate,No,176967,184993,1513896,360,1,Semiurban,Y
LP01866,Male,Yes,3+,Graduate,No,94827,5113,4847116,300,0,Semiurban,N
LP00445,Female,No,0,Graduate,Yes,280504,150318,4965402,120,0,Semiurban,N
LP01936,Male,No,0,Graduate,Yes,181828,63939,702223,360,0,Urban,N
LP00183,Male,No,2,Graduate,No,53102,144398,1449958,300,1,Urban,Y
LP01897,Female,No,0,Graduate,No,166177,175101,996859,180,0,Semiurban,N
LP00542,Female,No,0,Graduate,Yes,297245,17258,4027516,300,0,Rural,N
LP00822,Female,Yes,1,Not Graduate,No,258481,118684,75864,240,1,Rural,Y
LP01360,Male,No,3+,Not Graduate,Yes,131576,181575,4000006,240,0,Semiurban,N
LP01587,Male,Yes,3+,Not Graduate,No,233361,85111,479473,360,1,Urban,Y
LP01066,Female,No,1,Not Graduate,No,364450,37697,2134663,120,0,Urban,N
LP01747,Male,No,3+,Graduate,Yes,475378,181604,4133976,300,1,Urban,Y
LP01531,Female,Yes,1,Not Graduate,Yes,297255,113648,4722655,120,1,Rural,Y
LP01923,Male,Yes,0,Not Graduate,No,117905,187239,735927,180,0,Rural,N
LP01401,Male,Yes,0,Not Graduate,Yes,391967,42389,2334508,240,0,Rural,N
LP00824,Female,No,1,Graduate,No,121145,113447,705585,360,1,Semiurban,Y
LP00407,Female,Yes,2,Graduate,Yes,75899,153244,2757072,300,0,Rural,N
LP00251,Male,Yes,2,Not Graduate,No,56047,23864,1775313,240,0,Semiurban,N
LP01202,Female,No,1,Not Graduate,Yes,215493,34279,1816340,360,1,Semiurban,Y
LP01790,Male,No,3+,Not Graduate,Yes,240191,81487,2293640,300,0,Urban,N
LP00838,Female,Yes,2,Not Graduate,No,365442,178168,4907752,240,1,Rural,Y
LP00720,Female,No,1,Graduate,Yes,390712,19137,3804436,300,0,Semiurban,N
LP01709,Male,No,2,Graduate,No,373282,68564,374285,300,1,Semiurban,Y
LP01091,Male,Yes,3+,Not Graduate,Yes,363861,137883,200442,120,0,Urban,N
LP00538,Male,No,3+,Graduate,No,98744,166498,180342,180,0,Rural,N
LP00959,Male,Yes,2,Graduate,Yes,27616,133640,2706528,120,0,Semiurban,N
LP00834,Female,Yes,0,Not Graduate,Yes,292642,111953,114330,360,0,Rural,N
LP01739,Female,No,0,Not Graduate,No,98179,144499,2005166,300,1,Semiurban,Y
LP01457,Male,Yes,3+,Not Graduate,No,219590,179105,2588099,240,0,Rural,N
LP00913,Female,No,2,Not Graduate,Yes,414752,139325,441316,120,1,Semiurban,Y
LP00288,Male,Yes,2,Graduate,No,120012,144905,2255275,120,0,Rural,N
LP01555,Male,Yes,0,Graduate,Yes,406758,191472,557988,300,1,Semiurban,Y
LP01045,Female,No,3+,Graduate,No,457833,184490,3599422,240,1,Rural,Y
LP00568,Female,Yes,3+,Not Graduate,No,361999,22071,573325,300,0,Rural,N
LP01524,Female,Yes,1,Graduate,Yes,188773,96364,3597601,180,0,Semiurban,N
LP01063,Female,No,3+,Not Graduate,No,376021,170896,1036158,240,0,Semiurban,N
LP01873,Male,No,2,Not Graduate,No,41827,1986,877308,120,1,Rural,N
LP01148,Female,No,0,Not Graduate,No,476501,77304,2500177,360,0,Semiurban,N
LP00627,Male,No,1,Graduate,Yes,232668,15350,3750639,360,0,Rural,N
LP00318,Female,Yes,1,Graduate,Yes,150977,105892,1082718,360,1,Semiurban,Y
LP01861,Female,Yes,2,Graduate,No,380603,33688,4122627,180,0,Rural,N
LP00174,Female,Yes,3+,Graduate,Yes,39265,42443,2606199,240,0,Urban,N
LP00320,Female,Yes,3+,Graduate,No,309857,40975,2243201,300,0,Semiurban,N
LP01209,Female,Yes,2,Graduate,Yes,67991,130374,878353,120,1,Urban,Y
LP00756,Female,Yes,0,Not Graduate,No,39289,173764,4707005,120,0,Rural,N
LP01668,Female,No,3+,Graduate,No,49163,132752,4816190,180,0,Semiurban,N
LP01667,Female,Yes,2,Graduate,No,83656,46448,1376395,120,0,Semiurban,N
LP01322,Male,No,1,Graduate,No,202764,167001,4343351,180,0,Rural,N
LP01410,Female,No,2,Not Graduate,No,262625,110982,601146,120,1,Rural,Y
LP01964,Male,No,1,Not Graduate,No,388641,100406,1300837,300,1,Semiurban,Y
LP00011,Female,Yes,2,Not Graduate,Yes,262320,179704,4895995,120,0,Urban,N
LP01938,Female,Yes,3+,Not Graduate,Yes,233513,33897,931533,180,0,Rural,N
LP01388,Male,Yes,2,Not Graduate,Yes,308378,160264,3512800,120,0,Urban,N
LP01002,Female,No,3+,Graduate,No,204867,76312,4982343,180,0,Rural,N
LP00086,Male,No,0,Not Graduate,Yes,226133,4341,320796,120,0,Rural,N
LP00109,Male,Yes,3+,Graduate,Yes,37335,6016,4106005,300,1,Rural,N
LP01626,Female,Yes,2,Graduate,No,83535,197278,1022835,300,1,Urban,Y
LP00704,Male,No,0,Graduate,No,134848,4609,453827,180,1,Semiurban,Y
LP00220,Female,No,2,Not Graduate,Yes,457429,164865,3058525,240,1,Rural,Y
LP01110,Female,No,0,Not Graduate,Yes,465492,13555,867582,120,1,Urban,Y
LP01300,Male,Yes,1,Not Graduate,Yes,357609,117572,2663605,360,0,Urban,N
LP01011,Female,No,0,Not Graduate,No,348382,11920,2756775,180,0,Rural,N
LP01102,Female,No,3+,Not Graduate,No,415977,175826,3179146,180,0,Rural,N
LP00809,Female,No,0,Graduate,No,110383,179597,4334611,120,1,Semiurban,Y
LP00837,Female,Yes,3+,Graduate,Yes,473977,32364,463134,240,1,Rural,Y
LP00587,Male,No,3+,Not Graduate,No,140590,193067,4275624,360,0,Urban,N
LP00945,Female,Yes,3+,Graduate,No,267599,39290,578932,360,0,Semiurban,N
LP01261,Male,No,2,Graduate,No,224532,170790,3157817,360,1,Semiurban,Y
LP01717,Female,Yes,3+,Not Graduate,Yes,73347,106213,4042988,120,0,Rural,N
LP00101,Female,Yes,1,Graduate,No,236308,131483,1172862,240,0,Rural,N
LP00938,Female,Yes,1,Not Graduate,No,121934,118837,3251934,180,1,Rural,Y
LP00994,Male,No,1,Not Graduate,Yes,432362,142175,4038022,180,1,Semiurban,Y
LP01651,Male,No,3+,Not Graduate,Yes,29049,9602,3849403,180,1,Semiurban,N
LP01527,Male,Yes,3+,Not Graduate,No,368804,132422,1211245,360,0,Urban,N
LP00391,Male,No,3+,Not Graduate,No,75762,98501,2283062,300,0,Urban,N
LP01334,Male,No,2,Not Graduate,No,30834,101261,574732,120,1,Rural,Y
LP01399,Female,Yes,0,Graduate,No,391022,88460,2450762,300,0,Rural,N
LP01584,Male,Yes,3+,Graduate,Yes,34570,110245,1643083,240,0,Semiurban,N
LP01023,Female,No,0,Not Graduate,No,107243,22755,4224154,180,1,Urban,N
LP00041,Male,Yes,1,Not Graduate,No,66047,179391,4844664,300,0,Rural,N
LP01297,Male,No,0,Not Graduate,No,248241,21266,3252289,120,1,Urban,Y
LP00284,Male,Yes,0,Not Graduate,No,425153,179291,1897313,120,0,Urban,N
LP01125,Male,No,0,Not Graduate,No,306401,125545,1760343,300,1,Rural,Y
LP01766,Female,Yes,0,Graduate,Yes,314462,163818,657609,180,0,Rural,N
LP01192,Male,Yes,2,Graduate,Yes,241875,117684,715677,120,0,Rural,N
LP01594,Male,Yes,2,Graduate,No,442333,44386,327392,180,0,Rural,N
LP00219,Female,No,3+,Not Graduate,No,450270,102750,4171924,240,0,Urban,N
LP01368,Male,Yes,3+,Not Graduate,Yes,324295,82471,4348830,360,0,Urban,N
LP00712,Female,No,1,Not Graduate,No,259145,57208,1728011,360,1,Rural,Y
LP00808,Female,Yes,3+,Not Graduate,Yes,307216,45531,2197952,180,0,Semiurban,N
LP02000,Male,Yes,2,Graduate,No,260031,95525,4884838,360,1,Semiurban,Y
LP00051,Female,Yes,2,Not Graduate,Yes,245288,101636,3304279,120,1,Urban,Y
LP01108,Male,No,0,Not Graduate,No,327965,112612,2962684,180,0,Semiurban,N
LP00393,Male,Yes,3+,Graduate,No,315994,56719,3837182,300,0,Semiurban,N
LP00028,Female,Yes,2,Graduate,No,341119,155132,3573991,360,0,Rural,N
LP01431,Male,No,1,Graduate,Yes,288441,99576,3232979,360,1,Rural,Y
LP00098,Male,Yes,2,Not Graduate,No,321063,185115,3252201,120,0,Rural,N
LP01151,Male,No,0,Not Graduate,Yes,197665,122590,144048,180,1,Semiurban,Y
LP01279,Female,Yes,1,Graduate,Yes,478609,1998,1511421,300,1,Rural,Y
LP00259,Male,No,1,Not Graduate,No,276260,66513,1978388,360,1,Urban,Y
LP00341,Female,No,2,Not Graduate,Yes,218308,59113,4081282,180,0,Rural,N
LP00071,Female,No,3+,Not Graduate,Yes,46606,174943,3211190,120,0,Urban,N
LP01424,Female,Yes,3+,Graduate,No,396765,113324,450769,120,0,Urban,N
LP00022,Male,Yes,1,Not Graduate,Yes,265894,129349,3150744,180,0,Urban,N
LP01183,Female,Yes,0,Graduate,Yes,318361,63650,2295763,240,0,Urban,N
LP00909,Male,Yes,3+,Graduate,Yes,149157,85092,340909,300,1,Semiurban,Y
LP00295,Female,No,1,Graduate,No,114460,14523,4100596,180,1,Rural,N
LP01301,Male,No,0,Not Graduate,No,132383,108501,2953205,300,0,Rural,N
LP01666,Male,Yes,2,Not Graduate,Yes,201862,194434,4267019,120,1,Urban,Y
LP00555,Male,No,1,Graduate,Yes,35217,124978,3217845,120,0,Semiurban,N
LP00687,Female,No,2,Not Graduate,Yes,152105,94891,2246490,120,0,Urban,N
LP01500,Female,No,3+,Not Graduate,No,53003,89755,3575987,240,0,Rural,N
LP00481,Female,Yes,1,Not Graduate,No,227899,133383,1916096,180,1,Semiurban,Y
LP01420,Female,Yes,1,Graduate,Yes,441895,11421,1881694,180,0,Rural,N
LP01349,Male,No,1,Graduate,Yes,467506,142169,1400493,300,0,Rural,N
LP01194,Female,No,2,Graduate,No,104836,194010,239075,180,0,Urban,N
LP01863,Female,No,1,Graduate,Yes,381916,145484,2804897,300,1,Urban,Y
LP01141,Female,No,0,Not Graduate,No,368544,64557,3993370,360,1,Urban,Y
LP01643,Male,Yes,1,Not Graduate,No,267014,175365,943786,360,1,Rural,Y
LP01163,Male,No,1,Graduate,No,209635,83373,3396660,360,0,Urban,N
LP00650,Female,No,3+,Not Graduate,No,94600,160091,2320514,120,1,Urban,Y
LP01990,Female,Yes,1,Not Graduate,No,162824,178086,1857879,240,0,Rural,N
LP01627,Female,No,0,Graduate,No,294507,68029,4729802,240,1,Rural,Y
LP01676,Female,No,3+,Not Graduate,No,390585,24271,899653,240,0,Semiurban,N
LP00563,Female,Yes,1,Graduate,Yes,110357,82752,898704,300,0,Rural,N
LP01245,Male,No,3+,Graduate,No,139669,52464,3421718,300,0,Urban,N
LP01007,Male,Yes,0,Graduate,No,323512,96923,1572980,360,1,Urban,Y
LP00434,Male,Yes,0,Graduate,Yes,497502,46056,3435488,240,0,Semiurban,N
LP00868,Male,Yes,1,Graduate,Yes,426630,106960,3300590,240,1,Urban,Y
LP00518,Female,Yes,3+,Not Graduate,Yes,280705,16983,2383197,300,0,Urban,N
LP00386,Female,No,0,Graduate,No,301421,56682,3971607,120,1,Rural,Y
LP01512,Male,No,1,Graduate,No,81019,162788,2112737,300,1,Rural,Y
LP00263,Female,No,1,Graduate,Yes,99144,181923,3205849,240,0,Semiurban,N
LP00409,Male,No,2,Graduate,Yes,318977,173110,3385600,300,1,Semiurban,Y
LP01602,Male,No,3+,Graduate,No,211344,139806,3164146,180,1,Semiurban,Y
LP01991,Female,Yes,3+,Graduate,No,417933,82891,2201973,120,1,Semiurban,Y
LP01698,Female,No,0,Not Graduate,Yes,331660,19215,4302858,360,1,Semiurban,Y
LP01920,Male,Yes,2,Not Graduate,Yes,352453,110565,4547020,180,0,Rural,N
LP00831,Female,No,2,Graduate,Yes,92486,51524,2204703,120,0,Semiurban,N
LP01116,Female,Yes,3+,Not Graduate,Yes,493561,55803,4570110,180,0,Semiurban,N
LP00776,Female,Yes,0,Not Graduate,Yes,416124,96252,4217465,300,0,Semiurban,N
LP01724,Male,No,1,Graduate,No,297056,141453,3641691,240,0,Semiurban,N
LP00482,Male,Yes,2,Not Graduate,No,196896,172491,2059737,180,0,Urban,N
LP00806,Female,No,3+,Not Graduate,No,439609,45765,2148343,360,0,Rural,N
LP01701,Male,Yes,2,Not Graduate,Yes,188942,93454,2677821,120,1,Rural,Y
LP01235,Female,No,3+,Not Graduate,Yes,372495,47359,104101,360,1,Urban,Y
LP00239,Female,No,1,Graduate,No,487590,141685,1872920,300,1,Rural,Y
LP01491,Male,No,3+,Graduate,No,255634,75380,902052,240,0,Semiurban,N
LP00176,Female,Yes,2,Not Graduate,Yes,497293,91396,1327601,180,1,Semiurban,Y
LP00039,Male,No,2,Not Graduate,Yes,477083,2288,3594654,240,0,Urban,N
LP01363,Male,No,2,Graduate,No,220361,152009,2241238,240,0,Rural,N
LP01253,Male,No,2,Not Graduate,No,368318,156452,1056254,120,0,Urban,N
LP01702,Female,No,0,Graduate,No,358415,162964,4055975,180,1,Semiurban,Y
LP00265,Male,No,3+,Not Graduate,Yes,408811,52375,4881669,180,1,Urban,Y
LP00914,Male,Yes,1,Graduate,Yes,57948,160966,2693241,360,1,Urban,Y
LP01407,Male,No,0,Not Graduate,Yes,162278,6151,3037451,120,0,Urban,N
LP00799,Male,No,0,Not Graduate,No,342575,55232,4653686,240,0,Urban,N
LP01278,Male,No,3+,Graduate,No,172600,121022,4344905,180,1,Urban,Y
LP01759,Female,Yes,2,Not Graduate,Yes,357922,81341,1636530,240,1,Urban,Y
LP00487,Female,Yes,1,Not Graduate,Yes,206421,35976,4933014,240,1,Urban,N
LP01364,Male,No,0,Graduate,No,323624,63603,2129199,300,0,Semiurban,N
LP01637,Male,No,3+,Graduate,No,386776,24643,2915898,240,0,Semiurban,N
LP00649,Male,No,1,Not Graduate,No,369245,179296,4429150,120,0,Urban,N
LP01591,Female,Yes,0,Graduate,No,267904,12821,3451837,360,1,Rural,Y
LP01182,Female,Yes,3+,Graduate,No,173386,146220,1071959,300,0,Urban,N
LP00811,Male,No,0,Graduate,Yes,259527,8448,4312071,180,0,Semiurban,N
LP01972,Female,Yes,2,Not Graduate,Yes,152362,32949,4537197,300,0,Semiurban,N
LP01460,Male,No,1,Graduate,Yes,489426,10377,157661,180,0,Semiurban,N
LP01221,Male,Yes,1,Graduate,No,451904,101097,2141721,300,1,Semiurban,Y
LP01689,Male,No,2,Graduate,No,42121,46397,813514,120,1,Rural,Y
LP01438,Male,Yes,2,Graduate,Yes,472207,3843,4276625,180,1,Urban,Y
LP01781,Male,Yes,0,Graduate,Yes,51241,54550,615952,180,0,Semiurban,N
LP00785,Male,Yes,2,Not Graduate,Yes,314519,51750,158010,240,0,Rural,N
LP01806,Female,Yes,2,Graduate,Yes,29697,153126,2276677,300,0,Semiurban,N
LP01040,Female,Yes,3+,Graduate,Yes,97723,143588,1041177,360,1,Rural,Y
